colegio;direccion;%becas_sobre_matriculados;%pagos_sin_becas;ocupacion;matriculados_mentores;Matriculados;p_welbin;ambiente_escolar_empleados;ambiente_escolar_familias;p_competencias;p_ciencias_naturales;p_lenguaje;p_matematicas;promedio_linea_base;Año de apertura
San Vicente;Calle 64 # 51 D - 154;0.925925926;0.319727891;0.46;17;108;63;3.01;3.4095;;;0.373529412;0.305882353;0.339705882;2022
Robledo;Calle 76 #80-126, Institución Universitaria Esumer;0.71722365;0.503558719;0.44;18.7;389;50;3.14;3.0001;0.456;0.454795;0.542763;0.471053;0.489537;2021
Rionegro;Parque Rionegro;0.68558952;0.48776509;0.68;26.3;458;76;2.9;3.0814;0.468142;0.515152;0.537209;0.524031;0.525464;2022
Perpetuo Socorro;Carrera 46 # 31 – 60, barrio Perpetuo Socorro.;0.541666667;0.6;0.28;25;96;71;3.16;3.6001;;;;;;2021
Envigado;Carrera 44 # 39 Sur 14, Envigado;0.274853801;0.83032491;0.65;16;171;72;3.43;3.3611;;;;;;2022
Cristo Rey;Cl. 2 Sur #53-82;0.651105651;0.539130435;0.5;18.8;407;72;3.04;3.2293;0.369565;0.467619;0.434416;0.433766;0.445267;2022
Centro;Calle 47 N.° 43-48.;0.726744186;0.562937063;0.44;16;344;71;3.46;3.4116;0.444809;0.48125;0.52406;0.454135;0.486481667;2022
Belén;Calle 28A #79A-5;0.913043478;0.505882353;0.96;14.2;92;73;3.57;3.4693;;;;;;2021
Bello;Calle 52B # 59B - 50, Bello, Barrio Pérez;0.824351297;0.292808219;0.72;27;501;85;3.35;3.3957;0.422308;0.482171;0.469732;0.448276;0.466726333;2020
Barrio Colombia;Cl. 25A #43b-178;0.480211082;0.622406639;0.5;22;379;78;2.71;3.3635;0.456962;0.441667;0.606061;0.460606;0.502778;2022
